{ConfigFilename} {MeanCorrelation} {Description} {scales} {angles} {gridsize} {patchsize} {cannysigma} {metric} {0.png} {1.png} {10.png} {11.png} {12.png} {13.png} {14.png} {2.png} {20.png} {21.png} {23.png} {24.png} {25.png} {26.png} {27.png} {28.png} {30.png} {33.png} {34.png} {38.png} {4.png} {42.png} {43.png} {45.png} {46.png} {47.png} {48.png} {6.png} {7.png} {8.png} {9.png}
{r\_l\_luma\_canny\_1\_pmean\_g8\_3\_hi\_1000\_itf\_s4\_a8.2012-09-25T18:59:12.641317.json} {0.196728706165} {$\sigma = 1.0$, $N = (4, 8)$, $G = (8, 3)$, HI} {4} {8} {8} {3} {1.0} {HI} {0.185094818006} {0.102398119659} {0.406767463676} {0.438812254312} {0.0944947802304} {0.467222164214} {0.229080205362} {0.185556134456} {0.113677693682} {0.0580276702933} {0.478380381836} {-0.179238192369} {0.338533590606} {0.303414907446} {0.28114262785} {0.449816218416} {0.129657349757} {0.0999703382573} {0.136626995317} {0.186808352875} {0.270957690466} {-0.044189896914} {0.279753742839} {-0.0389054664087} {0.147611163237} {0.17032385675} {0.027002423969} {0.0180605730784} {0.267509426191} {0.0382923641524} {0.45593013988}
{r\_l\_luma\_canny\_1\_5\_pmean\_g8\_3\_hi\_1000\_itf\_s4\_a8.2012-09-25T11:18:14.201100.json} {0.207284032182} {$\sigma = 1.5$, $N = (4, 8)$, $G = (8, 3)$, HI} {4} {8} {8} {3} {1.5} {HI} {0.205030769015} {0.0272197533271} {0.51128951975} {0.471537194387} {0.122977578115} {0.441918619499} {0.270442015012} {0.272681024995} {0.0734971428541} {0.0787609009556} {0.508787817063} {-0.159393078929} {0.318286476727} {0.368599673882} {0.313478277762} {0.394058308314} {0.083146387773} {0.135481597119} {0.149032261093} {0.238578441859} {0.248058897961} {-0.11277913411} {0.317980763871} {0.0853733248163} {0.140200203025} {0.185807843727} {0.0157488994611} {-0.00810381020314} {0.345806739485} {0.154895957742} {0.227404631301}
{r\_l\_luma\_canny\_2\_pmean\_g8\_3\_hi\_1000\_itf\_s4\_a8.2012-09-25T14:58:05.926509.json} {0.213824336031} {$\sigma = 2.0$, $N = (4, 8)$, $G = (8, 3)$, HI} {4} {8} {8} {3} {2.0} {HI} {0.271681852578} {0.0142027380635} {0.458466786588} {0.345172009622} {0.175438929811} {0.470394342404} {0.250973605971} {0.250816504542} {0.304488163253} {0.156252119319} {0.395067122608} {-0.0940488195552} {0.224547864663} {0.295034048886} {0.365943261488} {0.452397533182} {0.0758688770114} {0.171037298801} {0.13810793051} {0.257067921149} {0.262247045054} {-0.261779749987} {0.383473288432} {0.0757244687481} {0.18748483861} {0.213920367757} {0.0871829897547} {-0.0187513136395} {0.408297671853} {0.141936547291} {0.169908172185}
{r\_l\_luma\_canny\_1\_5\_pmean\_g5\_2\_hi\_1000\_itf\_s4\_a12.2012-09-27T18:32:21.766826.json} {0.177461994625} {$\sigma = 1.5$, $N = (4, 12)$, $G = (5, 2)$, HI} {4} {12} {5} {2} {1.5} {HI} {0.218402933109} {-0.00966214177961} {0.33176860835} {0.402038527618} {0.0825091935163} {0.271845689365} {0.103375135483} {0.284121921122} {0.105790877889} {0.275308194791} {0.426827516262} {-0.0469559955793} {0.328499319411} {0.212704526435} {0.381021732868} {0.198206561938} {0.118864804829} {-0.126116518918} {0.0605079412492} {0.176881525545} {0.171810928808} {-0.0242091957573} {-0.0199481314699} {0.0786807613432} {0.237003192857} {0.29455976262} {0.110282414954} {-0.0481750173688} {0.373546264958} {0.27038132444} {0.261449174498}
{r\_l\_luma\_canny\_1\_5\_pmean\_g8\_3\_emd\_1000\_itf\_s4\_a12.2012-09-27T15:24:31.435692.json} {0.0863223063828} {$\sigma = 1.5$, $N = (4, 12)$, $G = (8, 3)$, EMD} {4} {12} {8} {3} {1.5} {EMD} {0.315521556772} {-0.057952938999} {0.346878825171} {0.209918423485} {0.0219217101409} {0.39691788514} {0.0860631013086} {0.02059217408} {-0.190724183301} {0.100516799307} {0.209647386027} {-0.101174208534} {0.321088577947} {0.0810293577898} {0.17245945792} {0.377827121841} {0.00645594070743} {-0.105681645022} {0.0525978299353} {0.0504206842416} {0.254827099005} {0.0517132629944} {-0.176206698686} {0.0694089697038} {-0.0335055997691} {-0.231961844556} {-0.0103227954819} {0.0116205189146} {0.35264098112} {0.0747432610235} {-0.00128951236123}
{r\_l\_luma\_canny\_1\_5\_pmean\_g8\_3\_hi\_1000\_itf\_s4\_a12.2012-09-25T11:53:09.327659.json} {0.220203568362} {$\sigma = 1.5$, $N = (4, 12)$, $G = (8, 3)$, HI} {4} {12} {8} {3} {1.5} {HI} {0.32006761566} {-0.00257733884789} {0.483294340369} {0.415186544765} {0.125729125562} {0.560289678293} {0.128461993571} {0.2786126201} {0.169193460083} {0.165910618692} {0.38059276111} {-0.124332951727} {0.298119063217} {0.384240799344} {0.301695585518} {0.306594152686} {0.0649483104381} {0.0411741950684} {0.145140456935} {0.246900945644} {0.364254908059} {-0.171513005379} {0.268593489298} {0.109161399621} {0.178370555847} {0.282401328761} {0.122898726332} {0.0402291503823} {0.448188032527} {0.131512200427} {0.362971856879}
{r\_l\_luma\_canny\_1\_5\_pmean\_g8\_3\_hibin\_1000\_itf\_s4\_a12.2012-09-25T12:01:25.148786.json} {0.211241105846} {$\sigma = 1.5$, $N = (4, 12)$, $G = (8, 3)$, HIB} {4} {12} {8} {3} {1.5} {HIB} {0.357591533051} {-0.0515467769578} {0.429073471206} {0.433097268573} {0.0792737959518} {0.544392229098} {0.162210417531} {0.267503565592} {0.0916626504036} {0.0738740343826} {0.348372585422} {-0.0498287197926} {0.220619444396} {0.399260634103} {0.324697093132} {0.281395379767} {0.0786111302581} {0.0421701086717} {0.202753435458} {0.17377208575} {0.311343951355} {-0.220623362276} {0.210615025916} {0.0939097465037} {0.199853321285} {0.276350239712} {0.311801483467} {0.0613567815132} {0.395854616727} {0.146858290583} {0.352198820446}
{r\_l\_luma\_canny\_1\_5\_pmean\_g8\_4\_hi\_1000\_itf\_s4\_a12.2012-09-26T18:05:35.117276.json} {0.192119630775} {$\sigma = 1.5$, $N = (4, 12)$, $G = (8, 4)$, HI} {4} {12} {8} {4} {1.5} {HI} {0.259132745208} {0.0784018503055} {0.44719830919} {0.432381494862} {0.0896857353675} {0.530536504747} {0.117481524244} {0.257943216814} {0.215500398316} {-0.0205970128698} {0.438494201428} {-0.243063210728} {0.369752592308} {0.305393502383} {0.245450165964} {0.327924517012} {0.00777709851149} {0.056983357552} {0.012509547671} {0.282521847127} {0.429029555447} {-0.0722605615492} {0.267696833459} {0.0346741198471} {0.0448640649679} {0.212987731449} {0.157655559507} {0.062804314096} {0.41550845127} {0.00584810321582} {0.185491996892}
{r\_l\_luma\_canny\_1\_5\_pmean\_g12\_3\_hi\_1000\_itf\_s4\_a12.2012-09-26T15:48:49.852793.json} {0.204555753344} {$\sigma = 1.5$, $N = (4, 12)$, $G = (12, 3)$, HI} {4} {12} {12} {3} {1.5} {HI} {0.284613322639} {0.0837098007763} {0.455197863515} {0.408328020695} {0.0373958584757} {0.518376211473} {0.271034542927} {0.13899717504} {0.103094153136} {0.115980922278} {0.303733309925} {-0.157252433615} {0.413933467955} {0.368838945076} {0.369609127475} {0.326246627392} {-0.0129367838129} {0.109523558743} {0.305912849103} {0.235609360067} {0.355670398414} {-0.220341979449} {0.302252366359} {0.0784567376498} {0.073930023274} {0.0231961844556} {0.245166392694} {0.0259740478783} {0.37580717696} {0.19213606386} {0.209035042317}
{r\_l\_luma\_canny\_1\_5\_pmean\_g12\_4\_hi\_1000\_itf\_s4\_a12.2012-09-26T16:34:32.475237.json} {0.217234031479} {$\sigma = 1.5$, $N = (4, 12)$, $G = (12, 4)$, HI} {4} {12} {12} {4} {1.5} {HI} {0.35940537567} {-0.019317646333} {0.439974135468} {0.453813521366} {0.08381830348} {0.507148949718} {0.239175040633} {0.258397932817} {0.300840818404} {0.097939445479} {0.423099732528} {-0.143992572933} {0.377827121841} {0.318307229115} {0.243524133281} {0.253769800399} {0.0486552416517} {0.0799894304202} {0.278352595572} {0.233919118898} {0.292337956912} {-0.160643979348} {0.358844298783} {0.0475885130007} {0.135182244892} {0.175260060331} {0.289038273492} {-0.00915664228245} {0.349003740577} {0.12136925721} {0.300783544805}
{r\_l\_luma\_canny\_1\_5\_pmean\_g8\_3\_hi\_1000\_itf\_s4\_a16.2012-09-25T13:08:15.617247.json} {0.206549046179} {$\sigma = 1.5$, $N = (4, 16)$, $G = (8, 3)$, HI} {4} {16} {8} {3} {1.5} {HI} {0.306197266885} {0.00773201654368} {0.442386524776} {0.395738658797} {0.132124463177} {0.505053619935} {0.279049514484} {0.327910483376} {0.23006497858} {0.0838177459792} {0.467820540969} {-0.129770361551} {0.349275106586} {0.375271229048} {0.365943261488} {0.330536995838} {0.0598054517183} {0.111942867745} {0.189069680389} {0.202927067608} {0.347378079735} {0.00693606041074} {0.171208529825} {0.0213757087397} {0.00401553537234} {0.162581863261} {-0.012987012987} {-0.0721886005244} {0.344385355978} {0.100280958035} {0.297136841321}
